Sub-Category,Cluster,Demand_Segment
Accessories,2,"High Volume, Core Demand"
Appliances,1,"Low Volume, Stable Demand"
Art,1,"Low Volume, Stable Demand"
Binders,2,"High Volume, Core Demand"
Bookcases,1,"Low Volume, Stable Demand"
Chairs,2,"High Volume, Core Demand"
Copiers,0,"High Value, High Volatility"
Envelopes,1,"Low Volume, Stable Demand"
Fasteners,1,"Low Volume, Stable Demand"
Furnishings,1,"Low Volume, Stable Demand"
Labels,1,"Low Volume, Stable Demand"
Machines,0,"High Value, High Volatility"
Paper,1,"Low Volume, Stable Demand"
Phones,2,"High Volume, Core Demand"
Storage,2,"High Volume, Core Demand"
Supplies,3,Emerging / Fast-Growing Demand
Tables,2,"High Volume, Core Demand"
